0	news	New Delhi records wettest July day in decades as deadly floods hit northern India
1	news	Six dead after knife attack outside kindergarten in Chinese city
2	news	The planet is getting hotter fast. This is what happens to your body in extreme heat
3	news	Dutch PM Mark Rutte to leave politics after government collapses
4	news	Canadian teenager questioned for allegedly defacing a UNESCO-listed temple in Japan
5	sports	Teenager Mirra Andreeva produces surprise Wimbledon win
6	news	Why Ukraine’s plea for NATO membership is such a profound dilemma for the West
7	fashion & style	Gym, spa, beauty equipment: Leaked documents reveal hidden details of Putin’s ‘ghost’ train
8	arts & culture	How Americans can see a rare Northern Lights show this week
9	news	BBC suspends presenter following sexual misconduct allegations
10	celebrity & pop culture	Here we go again: Harry Styles hit in eye with object while performing on stage at Vienna concert
11	business	China’s factory gate prices fall at fastest pace in 7 years
12	business	Mark Zuckerberg concealed his kids’ faces on Instagram. Should you?
13	business	In world’s most expensive property market, homes for the dead can cost more than for the living
14	tv &  movies	Bed rotting: TikTok’s latest trend reveals the toxic side of self-care
15	news	The huge blob of seaweed headed for Florida has shrunk by 75%
16	news	1 dead, 3 injured after gunman fired from scooter in apparent random shooting spree: NYPD
17	food & dining	Authorities swoop on Chinese restaurant that challenged customers to eat 108 dumplings
18	news	When a tourist in Bali gets arrested, this is the woman they call
19	news	A 45-year-old got pregnant in a state with a ban on abortions. She flew across the country to get one
20	news	AI-powered humanoid robots field questions from reporters
21	learning and education	This is what happens when ChatGPT tries to create crochet patterns
22	news	Aerial footage shows scope of massive protests ahead of key vote
23	business	Elon Musk is the gift that keeps on giving to Mark Zuckerberg
24	news	Netherlands to return nearly 500 looted objects to Indonesia and Sri Lanka
25	arts & culture	Nudist explains what you should definitely not do at a nude beach
26	news	This is the real reason Ron DeSantis is struggling in the polls
27	news	River is so polluted that it now has layer of toxic foam
28	dialy lifes	Spider mite males ‘undress’ their partners to mate ASAP
29	arts & culture	Marble head unearthed during works in Rome piazza
30	sports	Underarm serve backfires as Spain’s Alejandro Davidovich Fokina loses thrilling five-set match to Holger Rune
31	food & dining	How to spice up your pantry the Mediterranean way
32	news	Pence, Trump court Iowa voters in hopes of getting early state momentum
33	celebrity & pop culture	‘Tonight is the final night’: Elton John says goodbye to over 50 years of touring with last show on his farewell tour
34	business	China fines Jack Ma’s Ant Group nearly $1 billion
35	business	The US economy can’t function smoothly without UPS. That’s why a strike will hurt
36	business	Some investors are shunning Wall Street’s tech frenzy
37	business	China’s export curbs on raw materials are concerning, Yellen says on Beijing trip
38	celebrity & pop culture	One of Philadelphia’s top chefs met her future husband on a plane. Then they traveled the world together
39	travel	The secret side of Turkey’s Aegean coast
40	travel	Bedbugs: What travelers need to know this summer
41	food & dining	White people meals? The story behind China’s ‘coldest’ food trend
42	travel	The world’s biggest cruise ship is almost ready
