,user,video,northamerica,sports,news,autos,kids,movies,lifestyle,middleeast,foodanddrink,music,travel,health,finance,entertainment,weather,tv
0,U13740,0,0,3,4,0,0,1,1,0,0,0,1,0,0,0,0,2
1,U91836,2,0,3,60,0,0,1,6,0,4,1,7,1,8,0,2,0
2,U73700,0,0,6,2,1,0,0,6,0,1,0,0,0,1,0,1,1
3,U34670,1,0,4,1,0,0,0,1,0,0,1,0,0,2,0,0,4
4,U8125,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,1,0
5,U19739,1,0,10,26,1,0,0,2,0,2,1,1,2,0,1,0,1
6,U8355,0,0,6,13,5,0,2,2,0,2,1,1,0,1,1,0,2
7,U46596,0,0,5,1,0,0,0,0,0,0,0,0,1,1,0,0,0
8,U79199,3,0,1,13,0,0,0,2,0,0,0,2,0,1,0,3,4
9,U53231,1,0,2,13,1,0,1,1,0,0,0,3,1,5,2,3,3
10,U89744,1,0,50,16,0,0,3,14,0,0,4,0,1,6,8,1,2
11,U10045,0,0,28,16,7,0,0,1,0,2,0,0,0,1,0,0,3
12,U92486,1,0,34,31,0,0,7,8,0,4,2,0,1,6,2,0,4
13,U29155,0,0,20,12,2,0,6,2,0,3,9,1,5,3,8,1,5
14,U63162,0,0,6,24,1,0,0,10,0,7,3,7,6,6,5,1,4
15,U17841,0,0,3,11,0,0,0,5,0,16,8,1,8,6,2,1,1
16,U8312,0,0,2,5,0,0,1,1,0,10,0,0,4,2,1,1,1
17,U11306,0,0,0,9,0,0,0,3,0,0,0,1,0,2,0,0,1
18,U38627,0,0,0,1,0,0,1,1,0,1,2,0,1,1,0,0,5
19,U47654,0,0,13,10,0,0,1,3,0,1,3,1,1,7,2,1,5
20,U70879,0,0,8,11,50,0,2,12,0,18,0,24,8,27,1,0,4
21,U80798,5,0,11,47,4,0,5,12,0,5,0,3,2,14,0,8,5
22,U19722,1,0,22,26,3,0,3,4,0,10,0,2,8,7,4,2,7
23,U9306,5,0,7,42,4,0,11,15,0,5,8,9,7,11,5,2,25
24,U67119,0,0,0,1,0,0,1,1,0,2,3,0,1,1,2,1,3
25,U91678,1,0,4,12,0,0,0,2,0,0,0,0,0,4,1,0,2
26,U12328,2,0,4,17,5,0,1,3,0,0,0,3,2,7,0,0,3
27,U44808,0,0,11,5,0,0,0,0,0,5,0,1,1,1,1,0,2
28,U33207,0,0,1,3,0,0,0,4,0,0,3,2,1,0,2,0,3
29,U36009,1,0,0,8,0,0,0,2,0,1,0,1,0,1,0,0,1
30,U85394,1,0,6,28,5,0,2,6,0,1,2,4,4,6,0,0,6
31,U6744,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,2
32,U81585,0,0,0,4,0,0,1,0,0,6,0,1,0,0,0,1,0
33,U83994,0,0,4,0,1,0,0,2,0,9,0,0,1,1,1,0,0
34,U78244,1,0,13,3,4,0,14,11,0,34,1,6,4,3,3,0,8
35,U50695,0,0,6,9,6,0,1,1,0,1,0,1,1,0,0,0,1
36,U49572,0,0,9,154,6,0,5,12,0,56,4,6,2,8,2,0,10
37,U80709,0,0,3,3,0,0,2,0,0,1,0,0,1,1,0,0,1
38,U39703,1,0,2,8,4,0,0,1,0,0,0,2,0,0,1,0,0
39,U27024,1,0,2,18,3,0,7,11,0,3,15,5,10,4,8,2,30
40,U84248,0,0,0,1,0,0,0,0,0,0,1,0,0,2,1,0,0
41,U78954,1,0,12,7,1,0,0,6,0,0,2,1,2,5,0,0,4
42,U40466,4,0,12,30,10,0,4,9,0,7,3,3,0,9,2,1,2
43,U15141,0,0,7,5,0,0,1,2,0,2,0,0,3,4,1,0,4
44,U16402,2,0,2,1,0,0,0,2,0,0,0,0,0,0,0,3,1
45,U9312,0,0,1,4,2,0,0,1,0,0,1,1,0,0,0,0,1
46,U1700,0,0,6,0,0,0,1,4,0,0,3,0,0,1,1,0,3
47,U53159,0,0,0,24,0,0,0,0,0,0,0,0,0,4,0,1,0
48,U40937,1,0,8,3,0,0,2,0,0,0,2,0,0,4,1,0,0
49,U38865,1,0,2,11,0,0,4,18,0,15,0,5,8,8,11,0,5
50,U78765,0,0,5,16,1,0,0,5,0,1,3,5,3,3,2,1,8
51,U700,1,0,10,11,2,0,1,2,0,4,0,0,0,2,0,0,2
52,U7932,0,0,5,2,0,0,3,2,0,0,0,0,0,0,2,0,1
53,U2579,0,0,1,18,0,0,0,13,0,0,0,8,2,2,0,0,3
54,U45798,0,0,8,5,0,0,0,0,0,0,0,0,0,1,0,1,0
55,U92183,1,0,3,9,3,0,0,1,0,3,1,0,1,6,2,1,0
56,U73329,0,0,0,12,0,0,0,1,0,0,4,0,0,1,1,0,7
57,U61875,0,0,4,23,0,0,3,8,0,2,0,0,3,3,3,1,0
58,U39029,0,0,8,24,1,0,3,6,0,9,6,1,2,3,0,1,5
59,U39643,0,0,0,3,0,0,0,5,0,2,0,0,1,0,0,2,1
60,U50562,3,0,4,22,0,0,3,0,0,0,1,0,0,0,0,0,3
61,U53276,1,0,1,9,0,0,0,2,0,2,0,0,0,1,0,0,6
62,U54128,1,0,40,164,0,0,0,7,0,1,7,14,1,1,1,1,2
63,U47477,0,0,5,5,3,0,0,1,0,0,0,2,0,5,1,1,2
64,U37844,0,0,0,2,0,0,4,1,0,0,0,0,1,0,0,0,2
65,U6518,0,0,1,0,9,0,0,1,0,0,0,0,1,0,0,0,0
66,U39868,2,0,2,18,1,0,1,4,0,1,0,3,1,14,1,1,2
67,U23485,2,0,2,45,0,0,1,4,0,0,0,1,2,7,0,0,4
68,U61371,1,0,8,21,1,0,1,0,0,0,0,2,0,1,0,2,0
69,U63808,0,0,37,6,0,0,3,4,0,0,3,1,2,0,1,2,3
70,U2935,1,0,0,4,0,0,1,4,0,2,1,0,0,0,0,0,3
71,U15363,0,0,0,15,2,0,1,4,0,5,0,2,4,4,0,0,4
72,U5627,0,0,4,7,1,0,0,7,0,5,3,6,0,3,1,0,3
73,U7471,0,0,1,7,0,0,3,0,0,0,1,0,0,0,1,0,2
74,U67565,2,0,8,24,0,0,0,7,0,2,1,3,3,2,0,0,1
75,U1376,1,0,1,5,0,0,0,1,0,2,0,0,3,0,1,0,1
76,U11533,0,0,0,3,0,0,0,3,0,2,0,0,4,1,0,0,1
77,U22930,1,0,3,58,17,0,0,7,0,1,0,5,0,5,2,2,3
78,U86017,0,0,3,3,0,0,0,1,0,0,0,0,0,2,0,0,2
79,U3616,0,0,0,1,0,0,1,1,0,1,0,0,0,1,1,0,1
80,U47892,3,0,15,145,2,0,4,1,0,0,2,5,3,28,2,7,6
81,U66486,1,0,5,8,0,0,1,1,0,0,3,0,1,0,1,0,0
82,U91389,1,0,4,16,1,0,0,1,0,0,1,0,0,0,0,0,0
83,U37127,0,0,4,6,0,0,0,1,0,1,0,0,0,2,0,0,1
84,U24775,0,0,0,3,0,0,0,3,0,0,1,0,2,4,0,0,0
85,U39222,0,0,2,4,0,0,0,0,0,0,0,0,0,1,0,1,0
86,U5286,1,0,0,6,0,0,1,4,0,7,0,3,1,1,0,0,0
87,U69950,1,0,22,1,1,0,7,2,0,0,2,0,0,1,0,0,9
88,U92093,0,0,2,20,1,0,1,4,0,2,0,3,10,9,0,0,0
89,U52005,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,2
90,U27804,0,0,15,8,3,0,1,5,0,2,1,3,4,14,1,0,4
91,U52914,0,0,2,5,0,0,1,9,0,0,3,0,0,0,1,0,2
92,U60663,0,0,1,4,0,0,0,1,0,1,0,0,0,0,0,0,1
93,U12957,0,0,26,14,2,0,2,4,0,3,1,0,1,10,1,0,1
94,U85027,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
95,U10585,0,0,8,14,1,0,1,3,0,1,2,2,2,8,1,2,6
96,U89839,0,0,8,1,0,0,1,4,0,1,5,0,0,3,0,0,2
97,U47761,0,0,0,2,1,0,0,4,0,9,0,4,2,2,0,0,0
98,U13227,2,0,51,19,2,0,4,11,0,2,4,1,1,8,3,0,9
99,U70910,0,0,5,8,0,0,0,8,0,1,1,1,11,1,0,1,5
100,U53319,1,0,0,10,0,0,1,3,0,1,3,1,1,0,2,0,6
101,U84084,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,2
102,U29279,2,0,31,43,6,0,5,39,0,20,19,10,3,19,8,1,8
103,U39670,1,0,7,10,1,0,4,7,0,1,4,0,2,3,5,1,2
104,U21482,0,0,1,14,0,0,3,0,0,0,0,0,0,0,1,0,0
105,U5786,1,0,13,17,1,0,0,2,0,6,3,0,2,4,3,0,1
106,U15527,0,0,5,25,0,0,2,4,0,5,1,0,0,11,0,1,4
107,U77213,0,0,2,8,1,0,0,0,0,1,1,0,0,1,1,0,0
108,U77964,1,0,18,20,0,0,7,3,0,0,3,0,0,2,0,0,7
109,U51224,1,0,0,9,0,0,0,1,0,0,0,0,1,5,0,0,0
110,U62357,1,0,12,11,2,0,0,3,0,5,2,9,2,9,3,1,2
111,U46035,0,0,1,0,2,0,0,0,0,2,0,0,0,1,1,0,1
112,U80525,3,0,2,3,0,0,0,5,0,0,1,2,0,3,2,0,14
113,U81530,0,0,7,4,0,0,3,3,0,2,0,1,0,0,0,0,3
114,U84565,1,0,0,6,0,0,0,1,0,1,0,0,3,2,0,2,0
115,U27609,0,0,3,0,0,0,2,1,0,0,1,0,0,0,0,0,0
116,U73145,2,0,7,28,0,0,15,64,0,2,13,3,1,9,16,0,13
117,U59975,0,0,0,1,0,0,0,2,0,0,1,0,2,0,0,0,1
118,U26661,0,0,0,9,0,0,0,1,0,2,2,0,2,1,1,0,1
119,U93283,0,0,3,8,0,0,0,1,0,0,0,0,0,2,2,0,3
120,U27612,0,0,3,8,1,0,0,5,0,0,0,1,0,3,0,1,0
121,U33010,0,0,1,8,2,0,0,0,0,0,0,1,1,3,0,0,1
122,U93706,1,0,0,0,1,0,0,5,0,2,0,8,1,1,2,0,2
123,U78130,0,0,1,2,0,0,0,0,0,2,1,1,0,0,0,0,1
124,U1728,1,0,7,4,1,0,1,0,0,0,0,0,0,1,0,0,0
125,U63647,1,0,1,27,0,0,0,0,0,0,2,1,1,7,1,4,0
126,U35419,0,0,3,4,1,0,1,5,0,7,2,0,1,1,0,0,3
127,U11228,0,0,4,12,4,0,2,2,0,1,1,2,0,3,0,1,0
128,U44296,1,0,38,13,29,0,7,8,0,1,3,1,3,6,3,2,21
129,U41865,1,0,7,11,3,0,0,3,0,1,1,1,0,2,0,2,3
130,U80456,0,0,2,14,0,0,2,4,0,0,3,0,0,1,2,0,3
131,U14421,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,2,0
132,U89226,4,0,11,50,3,0,4,12,0,7,4,1,3,8,3,2,9
133,U69760,0,0,0,5,0,0,0,0,0,2,0,0,0,1,0,0,0
134,U85982,0,0,4,8,2,0,0,5,0,10,1,6,1,10,0,2,1
135,U85516,0,0,3,3,0,0,0,0,0,1,0,0,0,0,0,0,1
136,U11920,0,0,3,2,1,0,6,4,0,4,3,2,2,1,12,3,5
137,U51456,3,0,33,73,22,0,2,19,0,15,8,11,2,10,1,2,8
138,U21767,0,0,2,3,0,0,1,0,0,0,0,0,0,0,0,0,0
139,U28121,0,0,0,10,1,0,3,14,0,1,4,3,2,2,5,1,3
140,U80142,1,0,1,6,0,0,1,0,0,0,1,1,0,1,0,0,2
141,U496,0,0,0,1,0,0,0,0,0,2,1,0,2,0,0,0,1
142,U25283,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,1
143,U40685,0,0,17,5,0,0,1,0,0,0,0,0,0,0,0,0,1
144,U74754,0,0,0,9,2,0,1,4,0,13,3,1,4,6,0,0,3
145,U13432,0,0,0,4,2,0,1,1,0,0,0,0,0,0,0,0,0
146,U91990,0,0,0,1,0,0,0,1,0,0,3,0,1,0,2,0,5
147,U29542,0,0,25,51,2,0,1,4,0,0,8,1,0,1,1,0,1
148,U88635,1,0,2,23,1,0,1,4,0,0,1,1,0,1,1,0,3
149,U67982,2,0,19,23,2,0,2,13,0,13,2,2,6,4,1,1,4
150,U338,0,0,4,12,0,0,0,2,0,0,0,0,0,1,0,0,4
151,U8581,0,0,2,4,2,0,0,17,0,11,12,2,1,1,11,0,6
152,U57919,0,0,7,7,1,0,3,2,0,0,3,2,3,3,1,0,1
153,U67223,1,0,1,49,1,0,3,15,0,1,3,3,3,5,1,0,2
154,U2476,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0
155,U5598,0,0,1,2,0,0,0,3,0,0,1,0,0,0,0,0,0
156,U7635,0,0,6,8,1,0,0,2,0,0,0,0,0,0,1,1,1
157,U65361,0,0,4,31,0,0,0,31,0,8,4,3,6,7,1,10,4
158,U39782,0,0,0,3,0,0,0,7,0,0,1,0,0,1,0,0,2
159,U50368,0,0,16,13,1,0,2,5,0,2,3,5,2,6,1,3,3
160,U21705,3,0,3,39,13,0,4,46,0,4,4,11,17,16,15,1,10
161,U46937,2,0,17,61,18,0,8,59,0,11,18,24,50,25,12,3,28
162,U51668,1,0,0,10,1,0,1,1,0,0,0,1,0,2,0,0,0
163,U70158,1,0,11,24,2,0,6,5,0,4,0,2,5,7,1,0,6
164,U8317,8,0,4,21,0,0,0,8,0,13,2,7,4,1,2,1,2
165,U86241,2,0,2,40,0,0,1,22,0,0,2,1,2,10,2,4,2
166,U68197,2,0,44,52,1,0,3,5,0,2,3,4,0,9,2,4,6
167,U82105,0,0,3,25,0,0,1,0,0,0,1,0,0,6,0,0,1
168,U40451,1,0,10,14,3,0,1,10,0,0,0,3,1,2,0,0,2
169,U38642,2,0,2,39,0,0,0,0,0,0,0,0,0,3,1,0,0
170,U64038,0,0,0,1,0,0,2,2,0,1,0,2,0,2,0,0,1
171,U29035,1,0,0,14,0,0,2,5,0,0,0,0,1,1,1,0,4
172,U8335,7,0,0,2,1,0,0,5,0,0,4,1,1,2,5,0,6
173,U21697,2,0,1,1,0,0,4,3,0,0,0,0,0,2,1,1,1
174,U80190,2,0,4,15,0,0,3,6,0,1,5,0,0,0,4,0,2
175,U82278,2,0,19,46,3,0,3,14,0,2,0,2,3,6,2,3,1
176,U26059,0,0,10,8,0,0,2,4,0,5,1,0,4,1,3,0,3
177,U90945,0,0,2,4,7,0,0,1,0,0,2,1,0,2,0,0,0
178,U41828,0,0,14,4,1,0,1,0,0,0,0,0,0,1,4,0,1
179,U21545,2,0,5,7,0,0,1,7,0,3,0,4,2,13,0,0,0
180,U83111,1,0,1,0,3,0,2,0,0,0,0,0,0,0,0,0,0
181,U65061,1,0,1,2,6,0,1,3,0,1,4,5,1,5,1,0,3
182,U90887,0,0,7,9,0,0,0,0,0,0,0,0,1,0,0,1,0
183,U83995,1,0,23,15,51,0,8,14,0,6,6,4,12,7,7,0,10
184,U65795,0,0,0,13,0,0,0,0,0,0,0,1,2,4,0,0,1
185,U41223,0,0,2,5,0,0,0,0,0,3,0,3,2,3,0,0,1
186,U22999,0,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,1
187,U52270,0,0,0,7,1,0,0,7,0,0,2,3,1,7,0,1,1
188,U5065,0,0,2,4,0,0,0,2,0,0,2,0,2,0,4,0,4
189,U71558,2,0,1,5,1,0,0,2,0,1,1,0,0,0,0,0,1
190,U57266,0,0,0,2,0,0,1,7,0,0,0,0,1,0,0,0,0
191,U58552,0,0,3,2,0,0,1,1,0,0,0,0,0,0,1,0,3
192,U44940,1,0,2,18,9,0,2,13,0,0,2,1,6,17,4,2,6
193,U15686,0,0,4,6,4,0,0,0,0,0,1,0,1,1,0,1,1
194,U19208,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,1,0
195,U20995,2,0,17,43,3,0,3,12,0,0,3,6,4,4,2,4,8
196,U57069,0,0,3,1,2,0,0,1,0,0,1,0,0,3,2,0,0
197,U57589,0,0,0,0,0,0,0,8,0,0,1,0,2,0,2,0,1
198,U16225,0,0,0,5,0,0,1,3,0,0,0,0,0,2,0,0,3
199,U24856,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0
200,U51750,0,0,8,5,0,0,0,0,0,1,0,0,0,0,1,2,0
201,U35231,0,0,0,2,0,0,1,6,0,0,0,0,0,0,0,0,0
202,U13165,0,0,3,3,0,0,0,0,0,0,1,0,0,0,0,0,2
203,U27603,0,0,0,3,0,0,1,3,0,1,1,0,7,0,4,0,8
204,U48708,1,0,6,35,0,0,2,3,0,1,1,0,0,2,0,1,8
